gene,gen_1,gen_8,gen_12,gen_19
AEP3,-1.0677754712764889,0.9247901560532634,-0.19968398133391801,-0.11112634390361502
AFG1,0.016693939983270425,0.1211098833921304,0.6012479823884671,0.8825957825575774
AFG2,-0.39607351343577885,-0.03396527321814552,-0.758132498797829,-1.578739803393708
AFG3,-0.4444008586267654,0.3320380197669948,0.04496389619305347,0.07938047958611123
AFR1,-0.40464508435099006,0.06260313223246831,1.8231449501194104,2.359313213414754
AFT2,-0.5079688176927692,0.362654175699322,0.6226465163009467,0.9304015292860042
AGA1,0.012923916175860615,0.315175943498959,-1.3731933162968697,-1.2810311328875292
AGA2,-1.5775634434579615,0.6331737330946824,1.0405534887876737,1.332494855779204
AGC1,-0.5181312984300667,0.156850815128505,-0.4510816931119673,-0.11633451814123755
AGE1,0.03457008786092153,-0.1317563829286969,-1.0510924577865635,-0.7561262323175679
AGE2,-0.14364265234650883,0.18783724875933464,-0.5631729920507691,-0.2979584285192233
AGP1,0.07805811798353378,-0.013643300486579912,0.09279033726769574,-0.18534157632275758
AGP2,-0.9396452258427356,0.18663796625332085,1.0812155392180738,0.9961246399392711
AGP3,-0.6275027324615304,0.3772727595120224,0.39209193744228965,0.12011634596121916
AGX1,-0.82712388414225,0.8264001792459063,0.6533827986853643,0.3981798297774984
AHA1,-0.09940616267421278,0.25296004765126084,-0.5667415046064975,-0.6059883997563466
AHC1,-0.8545822852303379,0.1896145689423571,0.7269846115530404,1.10401682812758
AHC2,-0.01855862783054207,0.7676042612811426,0.604986087944672,1.5539887391076448
AHP1,0.003922916135549991,-0.21208363952508172,0.9286297508744327,0.5713181777916505
AHT1,-1.019271168029675,0.572017566858887,0.17788992048784547,-0.5925587611535852
AI1,-1.803850798842814,1.7190945804414788,0.4937858704465017,-0.09226894182566006
AI2,-1.1237996431374762,3.0965502878998055,0.6485649387935543,-0.9512596240363994
AI3,-1.7477878086118637,0.07299307525195282,-1.1300826340878676,0.38083104793181377
AI4,-0.8614503807484559,0.9744333504815066,-0.5491268135165852,-2.2879030210089057
AI5_BETA,3.9541963103868754,-0.669851398307669,,
AIF1,-1.0565795629307093,0.1521669390385279,0.9158327899614069,-0.5322565963160882
AIP1,-0.08507332982942396,0.331824378840647,-0.2769824278239324,0.36165676613648906
AIR1,-0.17625993182604796,0.630130998987037,-1.1727340614082327,-1.5955869258148219
AIR2,-0.46670745517256423,0.2303746188549091,-0.044661180566030155,-0.07109733235269917
AKL1,-0.18916994762201117,0.17644063541183522,0.031059522251507894,1.12209687866043
AKR1,-0.23387828908706923,0.331610488355298,0.03857601035780789,-0.13274452925399535
AKR2,-0.41341100113698886,0.26340487577148075,-0.365956045724354,-0.49406552847822854
ALA1,-0.8656667096218927,0.640209208036695,-0.7805767348246511,-1.5373604895645432
ALD2,-0.0017741194971418381,0.32756178197559227,1.0815155579962294,1.360702870125799
ALD3,-0.20603662141651208,-0.17952657568017008,2.70035089838639,3.1384185471122916
ALD4,0.03587730999658805,-0.3782038736372435,1.6089141169021874,2.6497023588254907
ALD5,-0.03558961620011108,0.159804766352262,-1.203831906260376,-2.744255722893585
